,Unnamed: 0,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,date,year,month,day,hour,week_day,duration
0,0,2019-03-23 20:21:09,2019-03-23 20:27:24,1,1.6,7.0,2.15,0.0,12.95,yellow,credit card,Lenox Hill West,UN/Turtle Bay South,Manhattan,Manhattan,2019-03-23,2019,3,23,20,Saturday,6.25
1,1,2019-03-04 16:11:55,2019-03-04 16:19:00,1,0.79,5.0,0.0,0.0,9.3,yellow,cash,Upper West Side South,Upper West Side South,Manhattan,Manhattan,2019-03-04,2019,3,4,16,Monday,7.08
2,2,2019-03-27 17:53:01,2019-03-27 18:00:25,1,1.37,7.5,2.36,0.0,14.16,yellow,credit card,Alphabet City,West Village,Manhattan,Manhattan,2019-03-27,2019,3,27,17,Wednesday,7.4
3,3,2019-03-10 01:23:59,2019-03-10 01:49:51,1,7.7,27.0,6.15,0.0,36.95,yellow,credit card,Hudson Sq,Yorkville West,Manhattan,Manhattan,2019-03-10,2019,3,10,1,Sunday,25.87
4,4,2019-03-30 13:27:42,2019-03-30 13:37:14,3,2.16,9.0,1.1,0.0,13.4,yellow,credit card,Midtown East,Yorkville West,Manhattan,Manhattan,2019-03-30,2019,3,30,13,Saturday,9.53
5,5,2019-03-11 10:37:23,2019-03-11 10:47:31,1,0.49,7.5,2.16,0.0,12.96,yellow,credit card,Times Sq/Theatre District,Midtown East,Manhattan,Manhattan,2019-03-11,2019,3,11,10,Monday,10.13
6,6,2019-03-26 21:07:31,2019-03-26 21:17:29,1,3.65,13.0,2.0,0.0,18.8,yellow,credit card,Battery Park City,Two Bridges/Seward Park,Manhattan,Manhattan,2019-03-26,2019,3,26,21,Tuesday,9.97
7,7,2019-03-22 12:47:13,2019-03-22 12:58:17,0,1.4,8.5,0.0,0.0,11.8,yellow,,Murray Hill,Flatiron,Manhattan,Manhattan,2019-03-22,2019,3,22,12,Friday,11.07
8,8,2019-03-23 11:48:50,2019-03-23 12:06:14,1,3.63,15.0,1.0,0.0,19.3,yellow,credit card,East Harlem South,Midtown Center,Manhattan,Manhattan,2019-03-23,2019,3,23,11,Saturday,17.4
9,9,2019-03-08 16:18:37,2019-03-08 16:26:57,1,1.52,8.0,1.0,0.0,13.3,yellow,credit card,Lincoln Square East,Central Park,Manhattan,Manhattan,2019-03-08,2019,3,8,16,Friday,8.33
10,10,2019-03-16 10:02:25,2019-03-16 10:22:29,1,3.9,17.0,0.0,0.0,17.8,yellow,cash,LaGuardia Airport,Astoria,Queens,Queens,2019-03-16,2019,3,16,10,Saturday,20.07
11,11,2019-03-20 19:39:42,2019-03-20 19:45:36,1,1.53,6.5,2.16,0.0,12.96,yellow,credit card,Upper West Side South,Manhattan Valley,Manhattan,Manhattan,2019-03-20,2019,3,20,19,Wednesday,5.9
12,12,2019-03-18 21:27:14,2019-03-18 21:34:16,1,1.05,6.5,1.0,0.0,11.3,yellow,credit card,Murray Hill,Midtown Center,Manhattan,Manhattan,2019-03-18,2019,3,18,21,Monday,7.03
13,13,2019-03-19 07:55:25,2019-03-19 08:09:17,1,1.75,10.5,0.0,0.0,13.8,yellow,cash,Lincoln Square West,Times Sq/Theatre District,Manhattan,Manhattan,2019-03-19,2019,3,19,7,Tuesday,13.87
14,14,2019-03-27 12:13:34,2019-03-27 12:25:48,0,2.9,11.5,0.0,0.0,14.8,yellow,cash,Financial District North,Two Bridges/Seward Park,Manhattan,Manhattan,2019-03-27,2019,3,27,12,Wednesday,12.23
15,15,2019-03-16 17:53:34,2019-03-16 18:13:57,3,2.09,13.5,0.0,0.0,16.8,yellow,cash,Upper West Side North,Clinton East,Manhattan,Manhattan,2019-03-16,2019,3,16,17,Saturday,20.38
16,16,2019-03-15 12:36:05,2019-03-15 12:54:28,1,2.12,13.0,0.0,0.0,16.3,yellow,cash,East Chelsea,Meatpacking/West Village West,Manhattan,Manhattan,2019-03-15,2019,3,15,12,Friday,18.38
17,17,2019-03-23 20:50:49,2019-03-23 21:02:07,1,2.6,10.5,2.0,0.0,16.3,yellow,credit card,Midtown Center,East Harlem South,Manhattan,Manhattan,2019-03-23,2019,3,23,20,Saturday,11.3
18,18,2019-03-27 06:28:36,2019-03-27 06:38:10,1,2.18,9.5,1.92,0.0,14.72,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan,2019-03-27,2019,3,27,6,Wednesday,9.57
19,19,2019-03-25 22:04:25,2019-03-25 22:11:30,6,1.08,6.5,1.08,0.0,11.38,yellow,credit card,East Chelsea,East Chelsea,Manhattan,Manhattan,2019-03-25,2019,3,25,22,Monday,7.08
20,20,2019-03-21 03:37:34,2019-03-21 03:44:13,1,1.07,6.5,1.54,0.0,11.84,yellow,credit card,Penn Station/Madison Sq West,Kips Bay,Manhattan,Manhattan,2019-03-21,2019,3,21,3,Thursday,6.65
21,21,2019-03-25 23:05:54,2019-03-25 23:11:13,1,0.8,5.5,2.3,0.0,11.6,yellow,credit card,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan,2019-03-25,2019,3,25,23,Monday,5.32
22,22,2019-03-28 17:20:54,2019-03-28 17:55:57,1,9.82,31.5,8.31,5.76,49.87,yellow,credit card,LaGuardia Airport,Sutton Place/Turtle Bay North,Queens,Manhattan,2019-03-28,2019,3,28,17,Thursday,35.05
23,23,2019-03-04 12:15:39,2019-03-04 12:26:53,5,1.09,8.5,2.36,0.0,14.16,yellow,credit card,Sutton Place/Turtle Bay North,Midtown North,Manhattan,Manhattan,2019-03-04,2019,3,4,12,Monday,11.23
24,24,2019-03-24 09:53:28,2019-03-24 10:01:22,5,2.89,9.5,3.84,0.0,16.64,yellow,credit card,Lenox Hill West,Gramercy,Manhattan,Manhattan,2019-03-24,2019,3,24,9,Sunday,7.9
25,25,2019-03-25 08:01:01,2019-03-25 08:13:27,1,1.9,10.0,3.0,0.0,16.3,yellow,credit card,Lincoln Square East,Midtown South,Manhattan,Manhattan,2019-03-25,2019,3,25,8,Monday,12.43
26,26,2019-03-03 02:45:36,2019-03-03 03:02:14,1,3.35,13.5,0.0,0.0,17.3,yellow,cash,West Chelsea/Hudson Yards,Seaport,Manhattan,Manhattan,2019-03-03,2019,3,3,2,Sunday,16.63
27,27,2019-03-16 20:30:36,2019-03-16 20:46:22,1,2.6,12.5,3.26,0.0,19.56,yellow,credit card,Clinton East,Lenox Hill West,Manhattan,Manhattan,2019-03-16,2019,3,16,20,Saturday,15.77
28,28,2019-03-20 12:25:31,2019-03-20 12:45:02,1,4.71,17.5,0.0,0.0,18.3,yellow,credit card,Clinton West,East Harlem North,Manhattan,Manhattan,2019-03-20,2019,3,20,12,Wednesday,19.52
29,29,2019-03-06 08:09:03,2019-03-06 08:27:11,1,0.92,12.0,0.0,0.0,15.3,yellow,cash,UN/Turtle Bay South,Garment District,Manhattan,Manhattan,2019-03-06,2019,3,6,8,Wednesday,18.13
30,30,2019-03-10 15:14:20,2019-03-10 15:20:17,1,1.84,7.0,2.06,0.0,12.36,yellow,credit card,Lenox Hill West,East Harlem South,Manhattan,Manhattan,2019-03-10,2019,3,10,15,Sunday,5.95
31,31,2019-03-01 02:55:55,2019-03-01 02:57:59,3,0.74,4.0,0.0,0.0,7.8,yellow,cash,Clinton East,West Chelsea/Hudson Yards,Manhattan,Manhattan,2019-03-01,2019,3,1,2,Friday,2.07
32,32,2019-03-17 19:24:50,2019-03-17 19:29:58,1,0.62,5.5,1.0,0.0,9.8,yellow,credit card,Midtown Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan,2019-03-17,2019,3,17,19,Sunday,5.13
33,33,2019-03-20 22:29:32,2019-03-20 22:32:24,2,0.65,4.5,2.49,0.0,10.79,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan,2019-03-20,2019,3,20,22,Wednesday,2.87
34,34,2019-03-21 10:48:02,2019-03-21 10:57:45,2,0.87,7.5,2.16,0.0,12.96,yellow,credit card,Midtown North,Clinton West,Manhattan,Manhattan,2019-03-21,2019,3,21,10,Thursday,9.72
35,35,2019-03-01 17:39:58,2019-03-01 18:04:46,1,3.06,17.0,4.26,0.0,25.56,yellow,credit card,West Chelsea/Hudson Yards,Lenox Hill East,Manhattan,Manhattan,2019-03-01,2019,3,1,17,Friday,24.8
36,36,2019-03-22 17:28:51,2019-03-22 17:33:51,1,1.1,5.5,0.0,0.0,9.8,yellow,cash,Garment District,Flatiron,Manhattan,Manhattan,2019-03-22,2019,3,22,17,Friday,5.0
37,37,2019-03-21 18:41:58,2019-03-21 19:15:25,1,3.13,20.5,0.0,0.0,24.8,yellow,cash,Lenox Hill East,Garment District,Manhattan,Manhattan,2019-03-21,2019,3,21,18,Thursday,33.45
