,date,tmax,tmin,tavg,departure,HDD,CDD,precipitation,new_snow,snow_depth,tmax_c,tmin_c,tavg_c,departure_c
0,2019-01-01,60,40,50.0,13.9,15,0,0.08,0,0,15.56,4.44,10.0,-10.06
1,2019-01-02,41,35,38.0,2.1,27,0,0,0,0,5.0,1.67,3.33,-16.61
2,2019-01-03,45,39,42.0,6.3,23,0,0.01,0,0,7.22,3.89,5.56,-14.28
3,2019-01-04,47,37,42.0,6.5,23,0,0,0,0,8.33,2.78,5.56,-14.17
4,2019-01-05,47,42,44.5,9.1,20,0,0.45,0,0,8.33,5.56,6.94,-12.72
5,2019-01-06,49,32,40.5,5.3,24,0,0.01,0,0,9.44,0.0,4.72,-14.83
6,2019-01-07,35,26,30.5,-4.5,34,0,0,0,0,1.67,-3.33,-0.83,-20.28
7,2019-01-08,47,35,41.0,6.1,24,0,0.21,0,0,8.33,1.67,5.0,-14.39
8,2019-01-09,46,35,40.5,5.8,24,0,0.07,0,0,7.78,1.67,4.72,-14.56
9,2019-01-10,35,30,32.5,-2.1,32,0,0,0,0,1.67,-1.11,0.28,-18.94
10,2019-01-11,32,22,27.0,-7.5,38,0,0,0,0,0.0,-5.56,-2.78,-21.94
11,2019-01-12,34,21,27.5,-6.9,37,0,0,0,0,1.11,-6.11,-2.5,-21.61
12,2019-01-13,33,25,29.0,-5.2,36,0,0.01,0.01,0.01,0.56,-3.89,-1.67,-20.67
13,2019-01-14,35,22,28.5,-5.7,36,0,0,0,0,1.67,-5.56,-1.94,-20.94
14,2019-01-15,36,26,31.0,-3.1,34,0,0,0,0,2.22,-3.33,-0.56,-19.5
15,2019-01-16,40,31,35.5,1.5,29,0,0,0,0,4.44,-0.56,1.94,-16.94
16,2019-01-17,34,26,30.0,-3.9,35,0,0,0,0,1.11,-3.33,-1.11,-19.94
17,2019-01-18,42,29,35.5,1.6,29,0,0.03,0.4,0.01,5.56,-1.67,1.94,-16.89
18,2019-01-19,39,32,35.5,1.7,29,0,0.34,0.01,0,3.89,0.0,1.94,-16.83
19,2019-01-20,40,16,28.0,-5.8,37,0,1,0.01,0,4.44,-8.89,-2.22,-21.0
20,2019-01-21,16,5,10.5,-23.3,54,0,0,0,0,-8.89,-15.0,-11.94,-30.72
21,2019-01-22,31,14,22.5,-11.3,42,0,0,0,0,-0.56,-10.0,-5.28,-24.06
22,2019-01-23,47,30,38.5,4.7,26,0,0.01,0,0,8.33,-1.11,3.61,-15.17
23,2019-01-24,57,35,46.0,12.2,19,0,1.48,0,0,13.89,1.67,7.78,-11.0
24,2019-01-25,40,29,34.5,0.7,30,0,0,0,0,4.44,-1.67,1.39,-17.39
25,2019-01-26,35,25,30.0,-3.8,35,0,0,0,0,1.67,-3.89,-1.11,-19.89
26,2019-01-27,49,29,39.0,5.1,26,0,0,0,0,9.44,-1.67,3.89,-14.94
27,2019-01-28,39,25,32.0,-1.9,33,0,0,0,0,3.89,-3.89,0.0,-18.83
28,2019-01-29,44,25,34.5,0.5,30,0,0.27,0.01,0,6.67,-3.89,1.39,-17.5
29,2019-01-30,36,7,21.5,-12.6,43,0,0.01,0.2,0,2.22,-13.89,-5.83,-24.78
30,2019-01-31,17,3,10.0,-24.1,55,0,0,0,0,-8.33,-16.11,-12.22,-31.17
31,2019-02-01,22,12,17.0,-17.2,48,0,0,0,0,-5.56,-11.11,-8.33,-27.33
32,2019-02-02,35,18,26.5,-7.8,38,0,0,0,0,1.67,-7.78,-3.06,-22.11
33,2019-02-03,52,31,41.5,7.1,23,0,0,0,0,11.11,-0.56,5.28,-13.83
34,2019-02-04,59,36,47.5,12.9,17,0,0,0,0,15.0,2.22,8.61,-10.61
35,2019-02-05,65,36,50.5,15.8,14,0,0,0,0,18.33,2.22,10.28,-9.0
